feature,importance
59,0.030058403
302,0.021962442
196,0.019274168
207,0.016596816
438,0.015314924
486,0.015272881
310,0.013004664
95,0.012364238
64,0.012346512
543,0.011733925
130,0.01086587
511,0.010775326
510,0.010365154
445,0.010251376
390,0.009939295
487,0.009508917
56,0.008947122
139,0.008915843
121,0.008865176
377,0.008836007
248,0.008635375
33,0.008613524
274,0.008554033
119,0.008198334
571,0.007793409
101,0.0077358163
419,0.007652089
159,0.007612492
63,0.0073383087
39,0.007283086
124,0.006927247
252,0.006489105
202,0.006219739
280,0.0057076286
44,0.0055818986
51,0.0052915257
129,0.005284046
563,0.005249366
68,0.0051259855
550,0.005113311
131,0.005091309
435,0.005025401
55,0.0050127874
278,0.0049803285
197,0.0049388115
559,0.004926892
343,0.0049125804
91,0.0048614945
176,0.004805916
289,0.0047777975
147,0.004699402
460,0.0046642404
15,0.0046506515
297,0.0045223082
201,0.0044763065
94,0.004462369
500,0.004366994
117,0.0043456205
37,0.0042734137
167,0.0042594094
412,0.004084545
36,0.0040498935
123,0.004031096
416,0.003957312
488,0.0038791061
392,0.0038505006
65,0.0038469944
281,0.0038342068
472,0.0037873602
203,0.0037836747
211,0.0037581977
440,0.0037281099
90,0.003670186
477,0.0036512837
250,0.003584021
415,0.0035692956
182,0.003538414
300,0.0035354726
586,0.0034668753
572,0.0034496465
19,0.0034389598
483,0.0034042064
389,0.0033831275
4,0.003365412
35,0.0033181342
126,0.0032936619
102,0.0032419867
311,0.0032279962
16,0.0032258027
555,0.0032019294
0,0.0031899463
298,0.0031884348
356,0.0030642329
542,0.0030466367
336,0.0030314126
425,0.0029796744
489,0.002937432
357,0.0029359346
140,0.0029331974
468,0.0028950656
323,0.0028388607
341,0.0028343569
348,0.0027924676
57,0.0027900622
10,0.0027676513
3,0.0027659195
354,0.0027506063
99,0.0027396085
12,0.0027168472
546,0.0027148623
22,0.0026954263
183,0.0026952578
589,0.0026934256
406,0.0026032813
376,0.0025871734
164,0.0025869368
100,0.0025459228
188,0.0025321234
433,0.0025279769
32,0.0025053343
114,0.0024766603
103,0.0024626087
30,0.0024540604
331,0.00245383
475,0.0024509588
205,0.002436992
71,0.0024255828
574,0.0023917777
431,0.0023864384
432,0.0023819145
40,0.002375527
150,0.0023344688
106,0.0023090013
332,0.002284485
172,0.0022748269
43,0.002263396
187,0.0022446434
31,0.0022404725
408,0.0022375383
526,0.0022293576
38,0.002209534
58,0.0022085542
156,0.002178736
93,0.0021632263
2,0.002142929
54,0.0021207656
547,0.0021000905
251,0.0021000225
84,0.0020964197
388,0.0020720407
27,0.0020466466
24,0.0020415941
26,0.002035195
272,0.002016924
410,0.0019915157
312,0.0019832936
228,0.0019463911
430,0.0019442737
577,0.0019435124
144,0.0019356475
142,0.0019289576
317,0.0019202698
53,0.0018577054
484,0.0018421281
334,0.0018345172
418,0.0018072412
1,0.0017993102
407,0.0017883427
490,0.0017856291
7,0.0017847467
413,0.0017841599
453,0.0017788319
122,0.0017687676
269,0.0017658006
569,0.0017385723
469,0.0017363846
89,0.001723265
154,0.001704221
285,0.0016796815
213,0.0016703089
199,0.0016648918
210,0.001663493
333,0.0016514539
67,0.001624934
299,0.001619955
17,0.0016142689
359,0.001605711
113,0.0015915608
223,0.0015804641
195,0.0015790907
553,0.0015768417
295,0.0015745495
338,0.0015721797
339,0.0015709525
429,0.001555989
539,0.0015444634
98,0.0015435198
551,0.0015390554
214,0.0015324439
557,0.0015273582
287,0.0015217876
127,0.0015192617
321,0.0015102566
21,0.0015097028
525,0.0015096065
177,0.0015079313
294,0.0015073688
360,0.0014954952
576,0.0014945207
479,0.0014895635
143,0.0014771501
227,0.0014737702
173,0.0014686271
471,0.0014559736
70,0.0014402092
77,0.0014224122
148,0.0014142921
473,0.0014056467
161,0.0013893249
86,0.0013801517
125,0.0013797042
