seed,f1_fail,recall_fail,precision_fail,roc_auc,pr_auc,best_threshold,val_f1
1,0.08333333333333333,0.047619047619047616,0.3333333333333333,0.75816674792784,0.23026459107968064,0.5,0.0
2,0.1875,0.14285714285714285,0.2727272727272727,0.7337883959044368,0.15800685114286894,0.04,0.29411764705882354
3,0.06060606060606061,0.047619047619047616,0.08333333333333333,0.6500893872907525,0.09613963266779268,0.06999999999999999,0.21428571428571427
4,0.0,0.0,0.0,0.6504144319843979,0.0911635735753395,0.55,0.1111111111111111
5,0.13333333333333333,0.09523809523809523,0.2222222222222222,0.6073460100763856,0.10874223884548884,0.06999999999999999,0.16666666666666666
6,0.17142857142857143,0.14285714285714285,0.21428571428571427,0.7269624573378839,0.13401394822273538,0.02,0.16
7,0.20512820512820512,0.19047619047619047,0.2222222222222222,0.767593044043556,0.16160984356906863,0.03,0.15384615384615385
8,0.21621621621621623,0.19047619047619047,0.25,0.7030716723549488,0.16419098959968526,0.03,0.13793103448275862
9,0.3829787234042553,0.42857142857142855,0.34615384615384615,0.8039980497318381,0.2722442859391111,0.01,0.2857142857142857
10,0.11428571428571428,0.09523809523809523,0.14285714285714285,0.7440273037542663,0.18429680480986646,0.02,0.2857142857142857
11,0.08695652173913043,0.047619047619047616,0.5,0.7232244433609621,0.18285476625933753,0.5,0.0
12,0.2127659574468085,0.23809523809523808,0.19230769230769232,0.7360637087599545,0.22891344280403994,0.01,0.25
13,0.07407407407407407,0.047619047619047616,0.16666666666666666,0.6721924264586381,0.11476848617435562,0.33,0.21052631578947367
14,0.12903225806451613,0.09523809523809523,0.2,0.7313505607020965,0.12264341256793043,0.04,0.4
15,0.17391304347826086,0.19047619047619047,0.16,0.7357386640663092,0.14534841866826403,0.02,0.12903225806451613
16,0.07142857142857142,0.047619047619047616,0.14285714285714285,0.6118966357874208,0.09934341382330864,0.18000000000000002,0.2608695652173913
17,0.32432432432432434,0.2857142857142857,0.375,0.6991711360312043,0.3421748996545047,0.02,0.3225806451612903
18,0.13333333333333333,0.09523809523809523,0.2222222222222222,0.7350885746790183,0.21010745799940012,0.04,0.23076923076923078
19,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.7094100438810337,0.2382728417152066,0.01,0.15384615384615385
20,0.10714285714285714,0.14285714285714285,0.08571428571428572,0.6339996749553064,0.10998855918678338,0.01,0.2222222222222222
