seed,f1_fail,recall_fail,precision_fail,roc_auc,pr_auc,best_threshold,val_f1
1,0.3380281690140845,0.5714285714285714,0.24,0.7820575329107752,0.21997005575553136,0.23,0.19230769230769232
2,0.2857142857142857,0.3333333333333333,0.25,0.7517471152283439,0.1920425759809463,0.26,0.25
3,0.06060606060606061,0.047619047619047616,0.08333333333333333,0.6686981960019502,0.1354254646443654,0.35000000000000003,0.2608695652173913
4,0.15789473684210525,0.2857142857142857,0.10909090909090909,0.6693482853892411,0.09920754233262177,0.21000000000000002,0.17543859649122806
5,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.6254672517471153,0.0963183800887008,0.29000000000000004,0.27586206896551724
6,0.22727272727272727,0.47619047619047616,0.14925373134328357,0.7692182675117829,0.18193620586073542,0.21000000000000002,0.19672131147540983
7,0.20930232558139536,0.42857142857142855,0.13846153846153847,0.7188363399967496,0.18229530472993083,0.21000000000000002,0.26666666666666666
8,0.23529411764705882,0.2857142857142857,0.2,0.7415082073785145,0.19515797685932973,0.27,0.3157894736842105
9,0.17647058823529413,0.14285714285714285,0.23076923076923078,0.7459775719161384,0.21839638531086933,0.31,0.27586206896551724
10,0.25862068965517243,0.7142857142857143,0.15789473684210525,0.7344384852917276,0.14731833703588698,0.17,0.2549019607843137
11,0.20430107526881722,0.9047619047619048,0.11515151515151516,0.7758004225581018,0.21604834256381206,0.12,0.15568862275449102
12,0.22018348623853212,0.5714285714285714,0.13636363636363635,0.7278563302454087,0.24482936659120358,0.18000000000000002,0.21686746987951808
13,0.208,0.6190476190476191,0.125,0.7096538274012677,0.1268842993599686,0.17,0.2558139534883721
14,0.18421052631578946,0.3333333333333333,0.12727272727272726,0.7228993986673167,0.1553247777357554,0.23,0.3870967741935484
15,0.2736842105263158,0.6190476190476191,0.17567567567567569,0.7530472940029254,0.2379403904497076,0.2,0.2891566265060241
16,0.15,0.14285714285714285,0.15789473684210525,0.676905574516496,0.1305555379977401,0.3,0.35714285714285715
17,0.2,0.14285714285714285,0.3333333333333333,0.6652852267186737,0.2615525180934029,0.32,0.3448275862068966
18,0.32142857142857145,0.42857142857142855,0.2571428571428571,0.7734438485291727,0.25933383423554557,0.25,0.2692307692307692
19,0.20512820512820512,0.19047619047619047,0.2222222222222222,0.7390703721761742,0.20538454771893339,0.3,0.2564102564102564
20,0.1951219512195122,0.7619047619047619,0.11188811188811189,0.7194051682106289,0.14886150220731473,0.15000000000000002,0.26229508196721313
