seed,f1_fail,recall_fail,precision_fail,roc_auc,pr_auc,best_threshold,val_f1
1,0.31746031746031744,0.47619047619047616,0.23809523809523808,0.7945717536161222,0.22713500268356196,0.08,0.2413793103448276
2,0.22857142857142856,0.19047619047619047,0.2857142857142857,0.714935803673005,0.16312418047453267,0.26,0.2631578947368421
3,0.23529411764705882,0.2857142857142857,0.2,0.6767430521696733,0.12158374306819995,0.16,0.2631578947368421
4,0.22,0.5238095238095238,0.13924050632911392,0.6522021777994474,0.09847201810391275,0.03,0.19718309859154928
5,0.136986301369863,0.23809523809523808,0.09615384615384616,0.5712660490817487,0.09503433005305525,0.05,0.2222222222222222
6,0.22535211267605634,0.38095238095238093,0.16,0.7107102226556151,0.12050265909242452,0.06999999999999999,0.2727272727272727
7,0.30434782608695654,0.3333333333333333,0.28,0.7518283764017551,0.2426337001592272,0.14,0.1951219512195122
8,0.2158273381294964,0.7142857142857143,0.1271186440677966,0.7610921501706485,0.2156170891904451,0.02,0.25
9,0.3448275862068966,0.47619047619047616,0.2702702702702703,0.7609296278238258,0.26016456070081095,0.13,0.2916666666666667
10,0.24242424242424243,0.38095238095238093,0.17777777777777778,0.7315130830489192,0.14219729820546567,0.08,0.3
11,0.2125,0.8095238095238095,0.1223021582733813,0.7463026166097838,0.18351568957085662,0.01,0.16176470588235295
12,0.24074074074074073,0.6190476190476191,0.14942528735632185,0.7150983260198278,0.18738835588855032,0.03,0.25882352941176473
13,0.25316455696202533,0.47619047619047616,0.1724137931034483,0.7152608483666505,0.17031248642890354,0.05,0.22580645161290322
14,0.15789473684210525,0.14285714285714285,0.17647058823529413,0.7214366975459126,0.11939172782853849,0.22,0.3684210526315789
15,0.21621621621621623,0.38095238095238093,0.1509433962264151,0.7607671054770031,0.14613688703000272,0.06999999999999999,0.27586206896551724
16,0.08,0.047619047619047616,0.25,0.6692670242158296,0.16660265167031138,0.8300000000000001,0.2857142857142857
17,0.25806451612903225,0.38095238095238093,0.1951219512195122,0.664878920851617,0.2506464522990807,0.09999999999999999,0.358974358974359
18,0.2268041237113402,0.5238095238095238,0.14473684210526316,0.7198114740776856,0.23859466781204133,0.03,0.21176470588235294
19,0.2608695652173913,0.2857142857142857,0.24,0.6785307979847229,0.22044342532076508,0.14,0.24390243902439024
20,0.16759776536312848,0.7142857142857143,0.0949367088607595,0.6491142532098164,0.12733344815629608,0.01,0.21897810218978103
