Feature,Mean_|SHAP|,Mean_SHAP,Effect_Direction
419,0.28180817,-0.0030351253,Fail riskini AZALTIR
33,0.25745332,-0.046679854,Fail riskini AZALTIR
59,0.2487502,-0.08777981,Fail riskini AZALTIR
486,0.2474376,-0.12920804,Fail riskini AZALTIR
213,0.21884024,-0.11348356,Fail riskini AZALTIR
511,0.21859722,-0.003415808,Fail riskini AZALTIR
95,0.20071483,-0.0050439723,Fail riskini AZALTIR
561,0.19508319,-0.07250541,Fail riskini AZALTIR
281,0.1833413,-0.084530935,Fail riskini AZALTIR
129,0.16544655,0.0,Fail riskini AZALTIR
500,0.15376113,-0.1422276,Fail riskini AZALTIR
103,0.13258499,-0.011700012,Fail riskini AZALTIR
31,0.13210043,0.0,Fail riskini AZALTIR
522,0.103965834,-0.005413236,Fail riskini AZALTIR
477,0.10087031,-0.1131672,Fail riskini AZALTIR
487,0.08986833,-0.0024331056,Fail riskini AZALTIR
126,0.084613994,0.0,Fail riskini AZALTIR
200,0.078779764,-0.07212298,Fail riskini AZALTIR
75,0.07802251,-0.06696024,Fail riskini AZALTIR
341,0.07762848,-0.013219513,Fail riskini AZALTIR
130,0.07712044,-0.03306905,Fail riskini AZALTIR
430,0.076232836,-0.03982047,Fail riskini AZALTIR
180,0.07235501,-0.00451687,Fail riskini AZALTIR
484,0.0695899,-0.006080127,Fail riskini AZALTIR
175,0.061502274,-0.107380375,Fail riskini AZALTIR
433,0.055797074,-0.00018303936,Fail riskini AZALTIR
39,0.05533773,0.0,Fail riskini AZALTIR
469,0.054416437,-0.062684566,Fail riskini AZALTIR
47,0.051644467,0.0,Fail riskini AZALTIR
43,0.04915467,-0.0044651134,Fail riskini AZALTIR
331,0.04466916,-0.0077217007,Fail riskini AZALTIR
563,0.039512873,0.0,Fail riskini AZALTIR
101,0.03927089,0.0,Fail riskini AZALTIR
489,0.038685247,0.0,Fail riskini AZALTIR
139,0.036482263,-0.0022497985,Fail riskini AZALTIR
81,0.03461338,0.0,Fail riskini AZALTIR
272,0.03430495,-0.0021472008,Fail riskini AZALTIR
336,0.033473566,-0.030539772,Fail riskini AZALTIR
406,0.03334087,-0.050018154,Fail riskini AZALTIR
152,0.0332177,-0.020877374,Fail riskini AZALTIR
411,0.03050692,0.0,Fail riskini AZALTIR
439,0.030257057,9.023165e-05,Fail riskini ARTIRIR
408,0.027276274,-0.017644314,Fail riskini AZALTIR
391,0.022282284,-0.08287495,Fail riskini AZALTIR
356,0.021459999,0.0,Fail riskini AZALTIR
197,0.020500762,-0.008392354,Fail riskini AZALTIR
251,0.018997822,0.0,Fail riskini AZALTIR
274,0.01757251,-0.033532947,Fail riskini AZALTIR
468,0.01621264,0.0,Fail riskini AZALTIR
172,0.013757922,0.0,Fail riskini AZALTIR
472,0.01156323,-0.0019183725,Fail riskini AZALTIR
255,0.011518065,-0.02120838,Fail riskini AZALTIR
317,0.011234623,0.0,Fail riskini AZALTIR
253,0.011058734,-0.005235046,Fail riskini AZALTIR
115,0.011033055,0.0,Fail riskini AZALTIR
64,0.010736705,-0.0033361732,Fail riskini AZALTIR
438,0.0100676175,-0.01410492,Fail riskini AZALTIR
70,0.009593697,-0.0136329355,Fail riskini AZALTIR
407,0.009297773,-0.030823365,Fail riskini AZALTIR
447,0.009069059,0.0,Fail riskini AZALTIR
349,0.008748534,-0.058163363,Fail riskini AZALTIR
412,0.008634474,-0.016569229,Fail riskini AZALTIR
146,0.0078186765,0.0,Fail riskini AZALTIR
188,0.006980306,-0.0062192427,Fail riskini AZALTIR
282,0.0046869954,-0.0053600105,Fail riskini AZALTIR
148,0.003263967,-0.004999015,Fail riskini AZALTIR
94,0.0032066877,0.0,Fail riskini AZALTIR
343,0.0027520345,0.0,Fail riskini AZALTIR
16,0.0016060174,-0.0024322725,Fail riskini AZALTIR
307,0.0,-0.00603233,Fail riskini AZALTIR
275,0.0,-0.017146124,Fail riskini AZALTIR
348,0.0,-0.01671077,Fail riskini AZALTIR
311,0.0,-0.023783173,Fail riskini AZALTIR
527,0.0,-0.028493878,Fail riskini AZALTIR
224,0.0,0.0,Fail riskini AZALTIR
96,0.0,0.0,Fail riskini AZALTIR
312,0.0,-0.0019078498,Fail riskini AZALTIR
176,0.0,-0.008049151,Fail riskini AZALTIR
286,0.0,0.0,Fail riskini AZALTIR
390,0.0,-0.011154498,Fail riskini AZALTIR
119,0.0,0.0,Fail riskini AZALTIR
79,0.0,-0.0022910808,Fail riskini AZALTIR
202,0.0,-0.00226896,Fail riskini AZALTIR
137,0.0,-0.0010148475,Fail riskini AZALTIR
44,0.0,-0.00755455,Fail riskini AZALTIR
432,0.0,0.0,Fail riskini AZALTIR
454,0.0,0.0,Fail riskini AZALTIR
55,0.0,0.0,Fail riskini AZALTIR
210,0.0,0.0,Fail riskini AZALTIR
173,0.0,-0.0039038416,Fail riskini AZALTIR
102,0.0,-0.008773205,Fail riskini AZALTIR
28,0.0,-0.035329405,Fail riskini AZALTIR
365,0.0,0.0,Fail riskini AZALTIR
1,0.0,-0.013697536,Fail riskini AZALTIR
351,0.0,-0.013133435,Fail riskini AZALTIR
586,0.0,-0.012464004,Fail riskini AZALTIR
177,0.0,-0.010839583,Fail riskini AZALTIR
542,0.0,0.0,Fail riskini AZALTIR
80,0.0,-0.009452226,Fail riskini AZALTIR
56,0.0,0.0,Fail riskini AZALTIR
