feature,importance
59,0.033877637
167,0.01980754
486,0.018016232
302,0.01578061
545,0.012379776
64,0.011759083
121,0.011703719
274,0.011443821
390,0.011430755
511,0.011324639
560,0.011075176
343,0.010746036
33,0.010735267
55,0.010671082
255,0.009621278
419,0.009526227
201,0.009054137
172,0.00880541
143,0.008659478
443,0.008626777
238,0.008375175
510,0.008266503
310,0.008185809
130,0.008134262
56,0.008124114
95,0.007840459
412,0.007312036
101,0.0069304635
119,0.006795898
454,0.0067713307
125,0.006325207
445,0.0062871804
554,0.006277093
37,0.006066882
68,0.005992502
272,0.0057331454
278,0.0056229355
67,0.0056045996
38,0.005574351
280,0.0055338717
197,0.005462314
34,0.0053701536
15,0.0052626366
559,0.005246995
124,0.005177552
297,0.004994467
115,0.004944648
91,0.004923016
500,0.004744695
131,0.004464409
312,0.004444819
39,0.004420502
377,0.0044086897
487,0.0043814885
187,0.0043786513
3,0.0042935386
573,0.004285202
176,0.004273234
183,0.004269525
286,0.0042371666
139,0.0042284704
341,0.004182609
202,0.0040980764
103,0.0039900886
129,0.0039703078
30,0.0039291484
123,0.003808163
19,0.0037766744
90,0.0037707859
406,0.0037704539
317,0.0036567468
63,0.0035983368
558,0.0035512424
107,0.003533357
488,0.0035245595
351,0.0034466
468,0.0034343582
53,0.0034141291
480,0.0033908528
300,0.0033811876
32,0.0033794153
188,0.0033783866
102,0.0033718387
489,0.0033307697
252,0.0033017108
410,0.0033012207
452,0.0032787311
126,0.0032685874
477,0.0032157016
460,0.003173902
200,0.003154306
163,0.0031365762
17,0.0031361184
140,0.0031355268
282,0.003100041
332,0.003086386
433,0.0030768153
483,0.0030690746
475,0.0030616813
289,0.0030473613
553,0.0030433037
281,0.0030297372
586,0.002977702
211,0.0029660715
16,0.002964894
547,0.0029207328
146,0.0029160494
425,0.0029076312
181,0.0028478282
469,0.0028233258
225,0.0028217
430,0.0027741198
10,0.002758678
338,0.002716842
355,0.0027136547
298,0.0026677356
70,0.0026552172
127,0.002634095
99,0.002633584
94,0.0026301644
331,0.002565052
436,0.002558419
144,0.002557703
108,0.002544412
152,0.0025382375
104,0.0025345052
438,0.0025307753
51,0.0025171791
58,0.0025064263
457,0.0024260036
323,0.0023848806
106,0.0023834237
14,0.0023771503
43,0.0023569122
93,0.002326734
31,0.0023264205
159,0.0023004843
434,0.0022931665
307,0.0022478346
216,0.002241209
275,0.0022361316
1,0.002205286
44,0.0021927017
301,0.0021877466
569,0.0021810099
138,0.0021692608
205,0.0021422477
308,0.0021287533
550,0.0021140112
576,0.0021003487
437,0.0020826394
20,0.0020767965
499,0.002068313
356,0.0020608774
100,0.0020586927
7,0.0020494564
0,0.0020468596
520,0.0020321894
357,0.002022205
393,0.0019969482
65,0.0019934832
22,0.0019820607
279,0.0019782083
251,0.0019756649
254,0.0019754914
333,0.0019660005
77,0.0019652713
563,0.0019540847
2,0.0019492771
376,0.0018964113
544,0.0018811839
391,0.0018741306
473,0.0018610692
270,0.0018384784
137,0.0018189524
428,0.00181895
239,0.0018012268
392,0.0017952836
386,0.0017866826
440,0.0017825948
