config_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,F1_macro_mean,F1_fail_mean,F1_fail_std,Recall_fail_mean,Recall_fail_std,Precision_fail_mean,PR_AUC_mean,PR_AUC_std,ROC_AUC_mean,Time_s
1,50,3,0.05,0.8,0.8,0.5706409534230492,0.2146218171062891,0.04958094740266476,0.27999999999999997,0.08161632489763258,0.17603361344537816,0.19951560366951498,0.04601760061847872,0.7171857808530865,31.196581840515137
2,50,3,0.05,0.8,1.0,0.5712861284862674,0.2178015824710895,0.04744410129724357,0.289047619047619,0.06997894079074797,0.17539693926351027,0.2037865002388492,0.030273388640829763,0.7238981541468801,31.187330722808838
3,50,3,0.05,1.0,0.8,0.5811834273798346,0.23280000489011754,0.06001309762614862,0.299047619047619,0.09126970324351193,0.19230532907952264,0.19611934832219907,0.038747061634449596,0.7134813845122883,31.2558536529541
4,50,3,0.05,1.0,1.0,0.5748849726260872,0.2231537344720616,0.06850293259219611,0.29904761904761906,0.10935390548119867,0.17904761904761904,0.1939459281644847,0.0341720161090884,0.7111565357359925,31.229551076889038
5,50,3,0.1,0.8,0.8,0.6022111240718274,0.26121250464179124,0.05162476927894107,0.2899999999999999,0.09726882588885259,0.24862777290621096,0.21958157106843462,0.0349870206306971,0.740512858189234,31.30083918571472
6,50,3,0.1,0.8,1.0,0.5999652464676712,0.2578025149453721,0.041551682052133714,0.27999999999999997,0.06277050306012985,0.2499211433244417,0.2249330939088686,0.02381525678050858,0.7383646244509305,31.23235011100769
7,50,3,0.1,1.0,0.8,0.5924779057101508,0.24385059684251056,0.04962851198267477,0.2704761904761905,0.08315763791597362,0.23106527093596058,0.2211213427112292,0.039797305097619744,0.7330502772898397,30.8094699382782
8,50,3,0.1,1.0,1.0,0.6043333388215028,0.26506863362882854,0.06117248269021138,0.29,0.09248889128613161,0.25040902724726255,0.22953140418686374,0.05136789455865001,0.7359534607241371,31.195421934127808
9,50,4,0.05,0.8,0.8,0.5871670999144294,0.23508771929824562,0.044626732786954,0.2604761904761904,0.06873657362196621,0.22530176014749514,0.19968404418489488,0.055465122971184604,0.7293977099933432,31.602601051330566
10,50,4,0.05,0.8,1.0,0.5760292863462089,0.21444318427457726,0.05220130779008485,0.24142857142857138,0.07221158128482805,0.1956622383252818,0.2027637476348522,0.038313534978849054,0.7349182156382119,32.17973208427429
11,50,4,0.05,1.0,0.8,0.5694948031506408,0.19874710454964073,0.06245559259574733,0.21285714285714286,0.08280239022917392,0.19320460664854255,0.22279722993256562,0.05821503337745861,0.727522024004328,31.843939065933228
12,50,4,0.05,1.0,1.0,0.5699122849762508,0.203315806366016,0.06426522439555843,0.2319047619047619,0.08634161964803945,0.1852952602952603,0.2020022223188589,0.05065111928445483,0.7168871404749659,31.92497420310974
13,50,4,0.1,0.8,0.8,0.5867311822021408,0.22056403605901456,0.08361433281925187,0.2033333333333333,0.09725950046570772,0.2585081585081585,0.23931053769247815,0.04413444969364455,0.7651432534302234,31.274049997329712
